1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.1 (8583)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2024-12-31T12:52:53-08:00",
Input File Name:,,,"Bressi Ranch Apartments",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"ELEV 4_L02-zn",Unconditioned,85.4009,0,0,0,0,0,0,0,0,0,0,341.604,373.05,85.4009,85.4009,
"IDF 01_L02-zn",Directly Conditioned,142.635,0,0,0,0,0,0,0,0,0,0,570.54,581.463,142.635,142.635,
"IDF 02_L02-zn",Directly Conditioned,141.239,0,0,0,0,0,0,0,0,0,0,564.956,578.611,141.239,141.239,
"Move-In_L02-zn",Unconditioned,1039.61,0,644.922,0,0,67.2629,0,0,0,0,1720.58,4158.44,717.273,1039.61,972.346,
"Parking Lot_L02-zn",Unconditioned,39744.5,0,3881.62,0,0,0,0,0,0,0,36680.2,158978,45617.6,39744.6,39744.5,
"Parking_Elec. 01_L02-zn",Unconditioned,64.5137,0,106.583,0,0,0,0,0,0,0,14.1938,258.055,229.667,64.5137,64.5137,
"Parking_Elec. 02_L02-zn",Unconditioned,55.4374,0,62.0945,0,0,0,0,0,0,0,0,221.75,243.641,55.4374,55.4374,
"Parking_Elev 01_L02-zn",Unconditioned,91.2055,0,0,0,0,0,0,0,0,0,0,364.822,385.555,91.2055,91.2055,
"Parking_Elev 02_L02-zn",Unconditioned,102.446,0,0,0,0,0,0,0,0,0,0.582,409.784,408.62,102.446,102.446,
"Parking_Elev 03_L02-zn",Unconditioned,97.9,0,0,0,0,0,0,0,0,0,0,391.6,400.858,97.9,97.9,
"Parking_Passageway_L02-zn",Unconditioned,691.89,0,455.745,0,0,0,0,0,0,0,1057.35,2767.56,652.852,691.89,691.89,
"Parking_Stair 01_L02-zn",Unconditioned,464.22,0,0,0,0,0,0,0,0,0,480.724,1856.88,895.432,464.22,464.22,
"Parking_Stair 02_L02-zn",Unconditioned,216.833,0,256.867,0,0,0,0,0,0,0,243.69,867.332,379.951,216.833,216.833,
"Parking_Trash 01_L02-zn",Unconditioned,229.404,0,0,0,0,0,0,0,0,0,130.508,917.616,656.6,229.404,229.404,
"Parking_Trash 02_L02-zn",Unconditioned,204.994,0,100.85,0,0,0,0,0,0,0,152.894,819.976,514.187,204.994,204.994,
"Parking_Vestibule 1_L02-zn",Unconditioned,195.775,0,0,0,0,0,0,0,0,0,103.904,783.1,575.292,195.775,195.775,
"Stair 1_L02-zn",Unconditioned,357.47,2,443.034,41.9793,0,0,0,0,0,0,493.423,1429.88,443.034,357.47,357.47,
"Stair 2_L02-zn",Unconditioned,197.223,0,0,0,0,0,0,0,0,0,97.0868,788.892,594.718,197.223,197.223,
"Stair 3_L02-zn",Unconditioned,303.918,1,127.52,38.7501,0,0,0,0,0,0,301.758,1215.67,612.156,303.918,303.918,
"Stair 4_L02-zn",Unconditioned,249.662,1,108.717,13.9931,0,0,0,0,0,0,211.477,998.648,575.693,249.662,249.662,
"Stair 5_L02-zn",Unconditioned,496.484,1,207.393,38.7501,0,0,0,0,0,0,613.558,1985.94,758.821,496.484,496.484,
"Stair 6_L02-zn",Unconditioned,319.199,1,146.45,38.7501,0,0,0,0,0,0,295.649,1276.8,685.498,319.199,319.199,
"Storage 01_L02-zn",Unconditioned,114.565,0,0,0,0,0,0,0,0,0,0,458.26,575.054,114.565,114.565,
"Storage 02_L02-zn",Unconditioned,60.7058,0,0,0,0,0,0,0,0,0,0,242.823,346.947,60.7058,60.706,
"Storage 03_L02-zn",Unconditioned,70.2639,0,0,0,0,0,0,0,0,0,0,281.056,408.538,70.2639,70.2639,
"Storage 04_L02-zn",Unconditioned,71.0193,0,0,0,0,0,0,0,0,0,0,284.077,822.98,71.0193,71.0193,
