AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
Name,Control Method,Status,Class,Cent Type,System,System Qty,Zone,Maximum,Minimum,Efficiency,Modeling Method,Brake HP,Total Static,Power Index,Nameplate HP,Position,Efficiency
,,,,,,(#),,(cfm),(cfm),,,(hp),(inH2O),(W/cfm),( hp)
"ResBaseAirSys_SZHP SupFan","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP",1,"n/a",869.658,-99996,0.65,"PowerPerUnitFlow",0.741962,3.51896,0.744,0.75,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-2","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-2",1,"n/a",854.261,-99996,0.65,"PowerPerUnitFlow",0.728826,3.51896,0.744,0.75,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-3","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-3",1,"n/a",489.096,-99996,0.65,"PowerPerUnitFlow",0.41728,3.51896,0.744,0.5,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-4","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-4",1,"n/a",408.104,-99996,0.65,"PowerPerUnitFlow",0.34818,3.51896,0.744,0.5,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-5","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-5",1,"n/a",78.2191,-99996,0.65,"PowerPerUnitFlow",0.0667338,3.51896,0.744,0.083,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-6","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-6",1,"n/a",249.092,-99996,0.65,"PowerPerUnitFlow",0.212517,3.51896,0.744,0.25,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-7","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-7",1,"n/a",684.267,-99996,0.65,"PowerPerUnitFlow",0.583793,3.51896,0.744,0.75,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-8","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-8",1,"n/a",348.812,-99996,0.65,"PowerPerUnitFlow",0.297594,3.51896,0.744,0.5,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-9","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-9",1,"n/a",360.868,-99996,0.65,"PowerPerUnitFlow",0.30788,3.51896,0.744,0.5,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-10","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-10",1,"n/a",1208.91,-99996,0.65,"PowerPerUnitFlow",1.04347,3.56012,0.744,1.5,"InAirStream",0.865
"ResBaseAirSys_SZHP SupFan-11","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-11",1,"n/a",49.8745,-99996,0.65,"PowerPerUnitFlow",0.0425512,3.51896,0.744,0.083,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-12","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-12",1,"n/a",506.205,-99996,0.65,"PowerPerUnitFlow",0.431876,3.51896,0.744,0.5,"InAirStream",0.855
"ResBaseAirSys_SZHP SupFan-13","ConstantVolume","New","Centrifugal","AirFoil","ResBaseAirSys_SZHP-13",1,"n/a",506.205,-99996,0.65,"PowerPerUnitFlow",0.431876,3.51896,0.744,0.5,"InAirStream",0.855



Outside Air Control
,,,,Relationships,,Control
Name,Control,Status,Design OA,Name,System Count,Econo Integration,Max OA Ratio,High DB Lockout,Low DB Lockout,High Enthalpy Lockout,OA Schedule Method,Delay,Schedule Name
,,,(cfm),,(#),,,(F),(F),(Btu/lb),,( hrs)
"ResBaseAirSys_SZHP OACtrl","FixedDryBulb","New",342.8,"ResBaseAirSys_SZHP",1,"Integrated",1,73,45,50,"FollowHVACAvailability",0,"NONE"
"ResBaseAirSys_SZHP OACtrl-2","FixedDryBulb","New",342.8,"ResBaseAirSys_SZHP-2",1,"Integrated",1,73,45,50,"FollowHVACAvailability",0,"NONE"
